adcode,name
110000,北京市
120000,天津市
130000,河北省
140000,山西省
150000,内蒙古自治区
210000,辽宁省
220000,吉林省
230000,黑龙江省
310000,上海市
320000,江苏省
330000,浙江省
340000,安徽省
350000,福建省
360000,江西省
370000,山东省
410000,河南省
420000,湖北省
430000,湖南省
440000,广东省
450000,广西壮族自治区
460000,海南省
500000,重庆市
510000,四川省
520000,贵州省
530000,云南省
540000,西藏自治区
610000,陕西省
620000,甘肃省
630000,青海省
640000,宁夏回族自治区
650000,新疆维吾尔自治区

README.md 
# 中国网路新媒体专业列表
此为中大南方《网络新媒体技术与协作》2018年秋季的课程作业，目标是让学生实践Github Pull Requests (简称PR)的发起及接纳操作。

网络与新媒体专业列表[list.tsv](./list.tsv)有以下栏位：

* 专业：网络与新媒体
* 地区：该专业所在地区，以[mainland.csv](./mainland.csv)中的name栏位内容择一（如 广东省）
* 学校：该专业所在学校
* 所在学院：该专业所在学院
* 贡献者学号：此项数据贡献者学号，格式严格为9码半角数字
* URL：该专业官方自我介绍页面之URL

# China's Internet and New Media Undergraduate Programmes
As an assignment of NFU's course "Technologies and Collaboration of Internet and New Media" in 2018 Autumn Semester, this project aims to familiarize students with the operations of making and handling Pull Requests (a.k.a PR) at Github. 
